,MLS ID,Status,Price,HOA Fee,Square Feet,Price per Square Foot,Lot Size,Bedrooms,Bathrooms,Location,Stories,Address,City,State,ZIP Code,Year Built,URL
101,2216027,Active,1625000.0,,2730.0,595.0,3840.0,6.0,3.0,Fremont,2.0,3936 Woodland Park Ave N,Seattle,WA,98103,1922.0,/WA/Seattle/3936-Woodland-Park-Ave-N-98103/home/119367
102,2215263,Active,1500000.0,,3120.0,481.0,6720.0,5.0,2.5,Fremont,2.0,3840 Linden Ave N,Seattle,WA,98103,1904.0,/WA/Seattle/3840-Linden-Ave-N-98103/home/302493
103,2209019,Active,1465000.0,,2980.0,492.0,2247.0,6.0,5.0,Fremont,1.5,4007 Midvale Ave N,Seattle,WA,98103,1930.0,/WA/Seattle/4007-Midvale-Ave-N-98103/home/119643
104,2205649,Active,2325000.0,,6950.0,335.0,6039.0,12.0,12.0,Greenwood,4.0,9403 Linden Ave N,Seattle,WA,98103,1989.0,/WA/Seattle/9403-Linden-Ave-N-98103/home/2086654
105,2211233,Active,529950.0,1.0,724.0,732.0,612.0,1.0,1.0,Licton Springs,1.5,9257 Ashworth Ave N Unit B,Seattle,WA,98103,2024.0,/WA/Seattle/9257-Ashworth-Ave-N-98103/unit-B/home/190173634
106,2210719,Active,849950.0,58.0,1151.0,738.0,1255.0,2.0,2.0,Wallingford,1.5,4009 Corliss Ave N Unit B,Seattle,WA,98103,2024.0,/WA/Seattle/4009-Corliss-Ave-N-98103/unit-B/home/190050756
107,2205836,Active,1350000.0,,2210.0,611.0,4000.0,5.0,5.0,Wallingford,2.0,807 N 49th St,Seattle,WA,98103,1911.0,/WA/Seattle/807-N-49th-St-98103/home/2071767
108,2203073,Active,1250000.0,,8352.0,150.0,5040.0,3.0,2.0,Ballard,2.0,4000 Whitman Ave N,Seattle,WA,98103,1930.0,/WA/Seattle/4000-Whitman-Ave-N-98103/home/145184384
109,30723016A6A7,Active,813950.0,,1404.0,580.0,,3.0,2.0,Seattle,4.0,9251-9255 Densmore Ave N Plan,Seattle,WA,98103,,/WA/Seattle/Seattle/9251-9255-Densmore-Ave-N/home/190079393
110,2207209,Active,799950.0,,1729.0,463.0,1156.0,3.0,2.5,Green Lake,1.5,931 N 92nd St Unit B,Seattle,WA,98103,2024.0,/WA/Seattle/931-N-92nd-St-98103/unit-B/home/190035433
111,2207225,Active,864950.0,,1785.0,485.0,1396.0,3.0,2.5,Green Lake,1.5,929 N 92nd St Unit A,Seattle,WA,98103,2024.0,/WA/Seattle/929-N-92nd-St-98103/unit-A/home/98459
112,2199921,Active,1450000.0,,2830.0,512.0,5000.0,6.0,3.0,Seattle,2.0,9534 Interlake Ave N,Seattle,WA,98103,1964.0,/WA/Seattle/9534-Interlake-Ave-N-98103/home/104568
113,2195737,Active,5100000.0,,9660.0,528.0,10000.0,17.0,13.0,Fremont,3.0,3636 Dayton Ave N,Seattle,WA,98103,1967.0,/WA/Seattle/3636-Dayton-Ave-N-98103/home/2088389
114,2187193,Active,949950.0,,1400.0,679.0,3060.0,3.0,3.0,Fremont,1.0,4320 Palatine Ave N,Seattle,WA,98103,1953.0,/WA/Seattle/4320-Palatine-Ave-N-98103/home/302207
115,2167146,Active,1499950.0,,3600.0,417.0,5100.0,9.0,6.0,Greenwood,3.0,"945 N 92nd St Unit A,B,C",Seattle,WA,98103,1906.0,/WA/Seattle/945-N-92nd-St-98103/unit-A-B-C/home/187966901
116,2162503,Active,2225000.0,,5000.0,445.0,7000.0,7.0,7.0,Woodland Park,2.0,4267 N Woodland Park Ave,Seattle,WA,98103,1966.0,/WA/Seattle/4267-Woodland-Park-Ave-N-98103/home/2087356
117,2245685,Active,1950000.0,,3266.0,597.0,5021.0,6.0,5.0,University District,2.0,4761 22nd Ave NE,Seattle,WA,98105,1910.0,/WA/Seattle/4761-22nd-Ave-NE-98105/home/2060579
118,2247186,Active,925000.0,,1770.0,523.0,3200.0,2.0,1.0,Ravenna,1.0,1221 NE 61st St,Seattle,WA,98115,1910.0,/WA/Seattle/1221-NE-61st-St-98115/home/308433
119,2247178,Active,1199950.0,,1930.0,622.0,5400.0,5.0,2.0,University District,2.0,5526 17th Ave NE,Seattle,WA,98105,1904.0,/WA/Seattle/5526-17th-Ave-NE-98105/home/308420
120,2246955,Active,2798000.0,,4000.0,700.0,4000.0,5.0,3.5,Wallingford,1.5,4019 2nd Ave NE,Seattle,WA,98105,2017.0,/WA/Seattle/4019-2nd-Ave-NE-98105/home/117330
121,2244277,Active,2485000.0,,3416.0,727.0,10400.0,4.0,3.5,Windermere,2.0,5720 60th Ave NE,Seattle,WA,98105,1949.0,/WA/Seattle/5720-60th-Ave-NE-98105/home/120939
122,2244971,Active,2225000.0,,3200.0,695.0,7313.0,4.0,3.5,Laurelhurst,2.0,5102 NE 42nd St,Seattle,WA,98105,1941.0,/WA/Seattle/5102-NE-42nd-St-98105/home/122018
